A0A183 GO:0031424,
A6NHL2 GO:0007017,GO:0051258,GO:0005525,GO:0003924,GO:0005200,GO:0005737,GO:0005874,
A6NHQ2 GO:0006364,GO:0008033,GO:0008168,GO:0003723,GO:0005730,GO:0030529,
A6NHR9 GO:0051276,GO:0060821,GO:0005524,GO:0001740,
A6NHT5 GO:0007420,GO:0030154,GO:0007566,GO:0042472,GO:0060135,GO:0050885,GO:0006351,GO:0043565,GO:0003700,GO:0005634,
A6NHY2 GO:0007165,
A6NI15 GO:0030154,GO:0006355,GO:0007379,GO:0001756,GO:0006351,GO:0003677,GO:0005634,
A6NI28 GO:0007165,GO:0005096,GO:0005622,
A6NI61 GO:0007517,GO:0007520,GO:0045026,GO:0016021,GO:0005886,
A6NI73 GO:0045087,GO:0005576,GO:0016021,
A6NIH7 GO:0060271,GO:0042953,GO:0008289,GO:0035869,
A6NIM6 GO:0015833,GO:0015031,GO:0015293,GO:0016021,
A6NIR3 GO:0032312,GO:0008060,GO:0008270,
A6NIX2 GO:0007010,GO:0035195,GO:0035331,GO:2000637,GO:0022604,GO:0006355,GO:0001666,GO:0006351,GO:0003714,GO:0008270,GO:0005912,GO:0000932,GO:0005634,
A6NIZ1 GO:0006184,GO:0007264,GO:0005525,GO:0005829,GO:0005886,
A6NJ46 GO:0001709,GO:0002067,GO:0030857,GO:0006351,GO:0003700,GO:0000976,GO:0005634,
A6NJG6 GO:0006351,GO:0043565,GO:0003700,GO:0005634,
A6NJL1 GO:0006357,GO:0006366,GO:0003677,GO:0046872,GO:0000981,GO:0005634,
A6NJT0 GO:0001502,GO:0035726,GO:0021516,GO:0021889,GO:0007389,GO:0045595,GO:0006351,GO:0043565,GO:0003700,GO:0005634,
A6NJW9 GO:0002376,GO:0016021,GO:0005886,
A6NK06 GO:0035458,GO:0071346,GO:0071347,GO:0071222,GO:0071219,GO:0071393,GO:0071356,GO:0006952,GO:0007566,GO:0006954,GO:0008152,GO:0050728,GO:0045824,GO:0032088,GO:0034136,GO:0034144,GO:0032480,GO:0002760,GO:2000379,GO:0019543,GO:0072573,GO:0047547,GO:0047613,GO:0005739,
A6NK39 GO:0006397,GO:0004721,GO:0005737,GO:0005634,
A6NK53 GO:0006355,GO:0006351,GO:0003677,GO:0046872,GO:0005634,
A6NK58 GO:0006464,GO:0009107,GO:0016874,GO:0033819,GO:0016415,GO:0005739,
A6NK59 GO:0035556,GO:0016567,
A6NK75 GO:0006355,GO:0006351,GO:0003677,GO:0046872,GO:0005634,
A6NK89 GO:0007165,GO:0005829,GO:0005815,GO:0000922,
A6NK97 GO:0006811,GO:0022857,GO:0016021,
A6NKC4 GO:0002376,GO:0016021,GO:0005886,
A6NKD2 GO:0030154,GO:0007506,GO:0006334,GO:0007283,GO:0005737,GO:0005634,
A6NKD9 GO:0021987,GO:0043296,GO:0005923,
A6NKF1 GO:0051298,GO:0007067,GO:0046426,GO:0050776,GO:0051225,GO:0005813,GO:0005737,GO:0005634,GO:0005819,
A6NKF2 GO:0045944,GO:0006351,GO:0003682,GO:0003677,GO:0005737,GO:0045121,GO:0005634,
A6NKG5 GO:0007275,GO:0016021,
A6NKH3 GO:0006412,GO:0046872,GO:0003735,GO:0005840,
A6NKP2 GO:0006694,GO:0003854,
A6NKT7 GO:0000042,
A6NKX4 GO:0006811,GO:0022857,GO:0016021,
A6NKZ8 GO:0007017,GO:0051258,GO:0005525,GO:0003924,GO:0005200,GO:0005737,GO:0005874,
A6NLC8 GO:0006367,GO:0005634,
A6NLF2 GO:0006355,GO:0006351,GO:0003677,GO:0016021,GO:0005634,
A6NLW8 GO:0006351,GO:0003700,GO:0000976,GO:0005634,
A6NM28 GO:0006355,GO:0006351,GO:0003677,GO:0046872,GO:0005634,
A6NM43 GO:0044267,GO:0005524,GO:0005737,
A6NMB1 GO:0007155,GO:0045087,GO:0016021,GO:0005886,
A6NMC2 GO:0043066,GO:0045596,GO:0048387,GO:0045892,GO:0008284,
A6NMD0 GO:0009607,GO:0016021,GO:0005886,
A6NMT0 GO:0007275,GO:0003700,GO:0000976,GO:0005634,
A6NMV5 GO:0043066,GO:0045596,GO:0048387,GO:0045892,GO:0008284,
A6NMX2 GO:0006417,GO:0003743,GO:0005737,GO:0005845,
A6NMZ7 GO:0007155,GO:0030574,GO:0022617,GO:0030198,GO:0005581,GO:0031012,GO:0005576,
A6NN14 GO:0006355,GO:0006351,GO:0003677,GO:0046872,GO:0005634,
A6NN92 GO:0007154,GO:0000902,GO:0002088,GO:0035265,GO:0005922,GO:0016021,
A6NNA5 GO:0007275,GO:0006351,GO:0043565,GO:0003700,GO:0005634,
A6NNB3 GO:0030282,GO:0030500,GO:0009607,GO:0016021,GO:0005886,
A6NNE9 GO:0016567,GO:0016874,GO:0008270,GO:0030659,GO:0016021,
A6NNF4 GO:0006355,GO:0006351,GO:0003677,GO:0046872,GO:0003700,GO:0005634,
A6NNM8 GO:0006464,GO:0016874,
A6NNN8 GO:0006865,GO:0006814,GO:0016021,
A6NNS2 GO:0010880,GO:0004745,GO:0005576,GO:0014801,GO:0033017,
A6NNW6 GO:0006096,GO:0000287,GO:0004634,GO:0000015,
A6NNY8 GO:0006511,GO:0008234,
A6NNZ2 GO:0007017,GO:0051258,GO:0005525,GO:0003924,GO:0005200,GO:0005737,GO:0005874,
A6NP11 GO:0006355,GO:0006351,GO:0003677,GO:0046872,GO:0005634,
A6PVC2 GO:0006464,GO:0018094,GO:0070735,GO:0070736,GO:0005930,GO:0005929,GO:0005874,GO:0015630,
A6PVI3 GO:0045292,GO:0000166,GO:0000339,GO:0005846,
A6XGN1 GO:0007049,GO:0043046,GO:0016571,GO:0010628,GO:0045893,GO:0006349,GO:0051569,GO:0006351,GO:0003677,GO:0042393,GO:0046872,GO:0043565,GO:0044212,GO:0005737,GO:0005634,
A7KAX9 GO:0051056,GO:0007165,GO:0007264,GO:0005096,GO:0035091,GO:0015629,GO:0005938,GO:0030054,GO:0005829,GO:0043197,GO:0005789,GO:0010008,GO:0000139,GO:0014069,GO:0045211,
A7MBM2 GO:0007224,GO:0016021,
A7MCY6 GO:0045087,
A7MD48 GO:0030154,GO:0006397,GO:0007399,GO:0000381,GO:0043484,GO:0008380,GO:0007605,GO:0003729,GO:0005634,
A7XYQ1 GO:0042472,GO:0007626,GO:0007605,GO:0046872,GO:0032184,
A8CG34 GO:0051028,GO:0015031,GO:0005789,GO:0031965,GO:0005643,
A8K010 GO:0006351,
A8K0Z3 GO:0034314,GO:0016197,GO:0042147,GO:0043014,GO:0005769,GO:0031901,GO:0055037,GO:0055038,GO:0071203,
A8K2U0 GO:0052548,GO:0030414,GO:0004867,GO:0005615,GO:0070062,
A8K4G0 GO:0045087,GO:0016021,GO:0005886,
A8K7I4 GO:0006816,GO:0071456,GO:1902476,GO:0006821,GO:0006810,GO:0005254,GO:0005615,GO:0005887,GO:0042589,
A8K8V0 GO:0006355,GO:0006351,GO:0003677,GO:0046872,GO:0005634,
A8MPS7 GO:0005975,GO:0016810,
A8MPY1 GO:0007214,GO:0034220,GO:0007268,GO:0055085,GO:0005254,GO:0005230,GO:0004890,GO:0030054,GO:0034707,GO:0005886,GO:0045211,
A8MQ11 GO:0006200,GO:0006298,GO:0007131,GO:0016446,GO:0005524,GO:0016887,GO:0030983,GO:0032407,GO:0003697,GO:0032300,GO:0032389,
A8MQ14 GO:0006355,GO:0006351,GO:0003677,GO:0046872,GO:0005634,
A8MQ27 GO:0007219,GO:0016567,GO:0016874,GO:0008270,GO:0005737,
A8MSY0 GO:0006397,GO:0004721,GO:0005737,GO:0005634,
A8MT33 GO:0007130,GO:0000795,
A8MT65 GO:0006355,GO:0006351,GO:0003677,GO:0046872,GO:0005634,
A8MT69 GO:0006281,GO:0051382,GO:0007067,GO:0031398,GO:0031297,GO:0000712,GO:0003677,GO:0000777,GO:0071821,GO:0043240,
A8MT79 GO:0019882,GO:0006955,GO:0005615,GO:0016020,
A8MT82 GO:0032312,GO:0008060,GO:0008270,
A8MTJ3 GO:0007193,GO:0007188,GO:0007596,GO:0001580,GO:0030168,GO:0035094,GO:0050916,GO:0050917,GO:0007268,GO:0031683,GO:0001664,GO:0005525,GO:0003924,GO:0046872,GO:0004871,GO:0001669,GO:0016324,GO:0005930,GO:0031234,GO:0005834,GO:0001917,GO:0001750,GO:0005886,GO:0043234,
A8MTJ6 GO:0006351,GO:0043565,GO:0003700,GO:0005634,
A8MTQ0 GO:0060271,GO:0007368,GO:0009953,GO:0009880,GO:0030903,GO:0006351,GO:0043565,GO:0003700,GO:0005634,
A8MTY0 GO:0006355,GO:0006351,GO:0003677,GO:0046872,GO:0005634,
A8MTZ0 GO:0042384,GO:0015031,GO:0034464,GO:0005929,GO:0005737,
A8MU46 GO:0045908,GO:0045907,GO:0043292,GO:0005737,GO:0031674,GO:0031430,GO:0005634,
A8MUK1 GO:0006915,GO:0006511,GO:0008234,GO:0005783,GO:0005634,
A8MUM7 GO:0006915,GO:0070234,GO:0030395,
A8MUV8 GO:0006355,GO:0006351,GO:0003677,GO:0046872,GO:0005634,
A8MUZ8 GO:0006355,GO:0006351,GO:0003677,GO:0046872,GO:0005634,
A8MV23 GO:0010951,GO:0030162,GO:0004867,GO:0005615,
A8MV65 GO:0006355,GO:0006351,GO:0005634,
A8MVS1 GO:0006355,GO:0006351,GO:0003677,GO:0046872,GO:0005634,
A8MVW5 GO:0051297,GO:0007067,GO:0005813,GO:0005794,GO:0000139,GO:0016021,GO:0030496,GO:0005819,
A8MW95 GO:0006914,GO:0008333,GO:1990172,GO:0005737,
A8MW99 GO:0006310,GO:0042138,GO:0048477,GO:0007283,GO:0007129,GO:0000800,
A8MWA4 GO:0006355,GO:0006351,GO:0003677,GO:0046872,GO:0005634,
A8MWD9 GO:0006397,GO:0008380,GO:0003723,GO:0005681,
A8MWK0 GO:0006636,GO:0020037,GO:0005506,GO:0016717,GO:0005789,GO:0016021,
A8MWX3 GO:0034314,GO:0016197,GO:0042147,GO:0043014,GO:0005769,GO:0031901,GO:0055037,GO:0055038,GO:0071203,
A8MX76 GO:0006508,GO:0005509,GO:0004198,GO:0005737,GO:0005634,
A8MXB1 GO:0019882,GO:0006955,GO:0005576,GO:0016020,
A8MXD5 GO:0042491,GO:0045454,GO:0060119,GO:0060122,GO:0010923,GO:0048563,GO:0007605,GO:0060118,GO:0009055,GO:0015035,GO:0060091,GO:0032420,
A8MXE2 GO:0006486,GO:0008378,GO:0000139,GO:0016021,
A8MXU0 GO:0042742,GO:0005576,
A8MXY4 GO:0006355,GO:0006351,GO:0003677,GO:0046872,GO:0005634,
A8MYU2 GO:0032504,GO:0071805,GO:0007338,GO:0035036,GO:0060072,GO:0005267,GO:0005249,GO:0005886,GO:0008076,
A8MYV0 GO:0035556,
A8MYZ6 GO:0006351,GO:0043565,GO:0003700,GO:0005737,GO:0005634,
A8RCT8 GO:0006310,GO:0006281,GO:0003677,GO:0000166,GO:0003723,GO:0015030,GO:0005737,GO:0005730,GO:0016605,
A9QM74 GO:0019221,GO:0006606,GO:0008565,GO:0005829,GO:0005654,
A9UHW6 GO:0006417,GO:0008022,GO:0003723,GO:0005737,GO:0005730,
A9YTQ3 GO:0000122,GO:0033235,GO:0006351,GO:0003677,GO:0004871,GO:0005737,GO:0005634,
B0YJ81 GO:0006633,GO:0007275,GO:0035335,GO:0006470,GO:0007165,GO:0016829,GO:0004725,GO:0005789,GO:0016021,
B1AK53 GO:0007626,GO:0051494,GO:0030046,GO:0051491,GO:0007605,GO:0051015,GO:0017124,GO:0005903,GO:0005737,GO:0031941,GO:0032420,GO:0032426,
B1ALU6 GO:0007186,GO:0007218,GO:0030246,GO:0004930,GO:0016524,GO:0016021,GO:0005886,
B1APH4 GO:0006355,GO:0006351,GO:0003677,GO:0046872,GO:0005634,
B2CW77 GO:0006915,GO:0007049,GO:0003677,GO:0005634,
B2DFZ3 GO:0006928,GO:0015939,GO:0017159,GO:0031225,GO:0005886,
B2R9M5 GO:0032502,GO:0007275,GO:0005537,GO:0005581,GO:0005576,
B2RUY7 GO:0030514,GO:0045666,GO:0032281,GO:0030054,GO:0005615,GO:0045202,
B2RXF5 GO:0000122,GO:0006351,GO:0003677,GO:0046872,GO:0005737,GO:0005654,GO:0005634,
B2RXH2 GO:0016568,GO:0006355,GO:0006351,GO:0051213,GO:0046872,GO:0005634,
B3FR89 GO:0048514,GO:0030154,GO:0016477,GO:0035924,GO:0048598,GO:0002548,GO:0001569,GO:0018108,GO:0045766,GO:0030335,GO:0008284,GO:0043406,GO:0043410,GO:0043552,GO:0014068,GO:0010863,GO:0030949,GO:0046777,GO:0002040,GO:0007169,GO:0048010,GO:0036323,GO:0005524,GO:0019838,GO:0036332,GO:0004714,GO:0005021,GO:0036326,GO:0036327,GO:0005768,GO:0005615,GO:0005887,GO:0005886,GO:0043235,
B4DJY2 GO:0009607,GO:0016021,
B4DQN7 GO:0006302,GO:0031572,GO:0070537,GO:0045739,GO:0070536,GO:0050790,GO:0010212,GO:0010165,GO:0030234,GO:0046872,GO:0008237,GO:0031593,GO:0004221,GO:0004843,GO:0070531,GO:0070552,GO:0000152,GO:0005634,GO:0000151,
B4DS77 GO:0048172,GO:0032281,GO:0030054,GO:0032591,GO:0008328,GO:0045202,
B4DU55 GO:0006355,GO:0006351,GO:0003677,GO:0046872,GO:0003700,GO:0005634,
B4DX44 GO:0006355,GO:0006351,GO:0003677,GO:0046872,GO:0005634,
B4DXR9 GO:0006355,GO:0006351,GO:0003677,GO:0046872,GO:0005634,
B4DYI2 GO:0030154,GO:0007283,GO:0016021,
B5B2W9 GO:0045333,GO:0071285,GO:0034644,GO:0007507,GO:0006954,GO:0008630,GO:0055001,GO:0001569,GO:0043065,GO:2001235,GO:0045944,GO:0032760,GO:0048167,GO:0051145,GO:0006366,GO:0003677,GO:0000981,GO:0003713,GO:0005737,GO:0005829,GO:0045111,GO:0005634,GO:0005667,
B5MD39 GO:0006749,GO:0019370,GO:0003840,GO:0031362,
B5ME19 GO:0001731,GO:0006446,GO:0003743,GO:0016282,GO:0033290,GO:0005852,
B5MEA7 GO:0007155,GO:0030574,GO:0022617,GO:0030198,GO:0005581,GO:0005576,
B6DY53 GO:0060117,GO:0015701,GO:0021747,GO:0006811,GO:0061299,GO:0046666,GO:0035725,GO:0055085,GO:0005452,GO:0008510,GO:0016324,GO:0016323,GO:0016021,GO:0005886,GO:0032420,
B7U540 GO:0071805,GO:0005242,GO:0016021,GO:0005886,
B7Z6K7 GO:0006355,GO:0046872,GO:0003676,GO:0003700,GO:0005622,
B7Z6Y0 GO:0006915,GO:0008283,GO:0000086,GO:0030097,GO:0008631,GO:0061351,GO:0018108,GO:0043065,GO:0046777,GO:0005524,GO:0005509,GO:0008289,GO:0004715,GO:0004674,GO:0005938,GO:0005886,
B7Z7Z9 GO:0007411,GO:0030424,
B7ZAJ1 GO:0044267,GO:0006488,GO:0030259,GO:0043687,GO:0018279,GO:0030246,GO:0008234,GO:0004577,GO:0044822,GO:0005789,
B7ZBB8 GO:0042593,GO:2000467,GO:0045725,GO:2001069,GO:0005737,
B7ZC32 GO:0007005,GO:0072384,GO:0005524,GO:0003777,GO:0005622,GO:0005871,GO:0031966,
C0KTG0 GO:0006959,GO:0007275,GO:0051573,GO:0000122,GO:0007399,GO:0009887,GO:0045944,GO:0035914,GO:0007283,GO:0006366,GO:0003677,GO:0003700,GO:0005634,
C4AMC7 GO:0034314,GO:0016197,GO:0042147,GO:0043014,GO:0005769,GO:0031901,GO:0030175,GO:0030027,GO:0055037,GO:0055038,GO:0071203,
C9J2P7 GO:0006511,GO:0008234,GO:0005783,GO:0005634,
C9J798 GO:0035556,GO:0051056,GO:0005096,GO:0046872,GO:0005829,GO:0005886,
C9JBD0 GO:0006355,GO:0003676,GO:0005622,
C9JE40 GO:0010607,GO:0017148,GO:0003723,GO:0005737,GO:0000932,GO:0005634,
C9JHS1 GO:0008219,GO:0034220,GO:0055085,GO:0016021,GO:0005622,GO:0005886,
C9JHZ1 GO:0007202,GO:0016049,GO:0008283,GO:0030099,GO:0046579,GO:0008277,GO:0032318,GO:0009991,GO:0007264,GO:0007169,GO:0005509,GO:0019992,GO:0030742,GO:0005088,GO:0005737,GO:0016020,GO:0005886,
C9JJH3 GO:0006511,GO:0008234,GO:0005783,GO:0005634,
C9JLJ4 GO:0006511,GO:0008234,GO:0005783,GO:0005634,
C9JN71 GO:0006355,GO:0006351,GO:0046872,GO:0003676,GO:0005634,
C9JNG6 GO:0006406,GO:0003729,GO:0044822,GO:0016607,GO:0005654,GO:0005634,
C9JPN9 GO:0006511,GO:0008234,GO:0005783,GO:0005634,
C9JQL5 GO:0009607,GO:0016021,
C9JR72 GO:0016567,GO:0005737,
C9JV30 GO:0006177,GO:0046651,GO:0055086,GO:0006144,GO:0009168,GO:0044281,GO:0030554,GO:0003677,GO:0003938,GO:0046872,GO:0003676,GO:0003723,GO:0005737,GO:0005829,GO:0005634,
C9JVI0 GO:0006511,GO:0008234,GO:0005783,GO:0005634,
C9JZS6 GO:0006915,GO:0019221,GO:0006952,GO:0051607,GO:0045087,GO:0045071,GO:0034340,GO:0009615,GO:0007165,GO:0060337,GO:0005525,GO:0003924,GO:0005737,GO:0005829,GO:0005789,GO:0005634,GO:0048471,
D3DVT0 GO:0050890,GO:0015031,GO:0050811,GO:0003723,GO:0005737,GO:0019898,GO:0005874,GO:0030529,
D3W0D1 GO:0050663,GO:0043320,GO:0030246,GO:0042803,GO:0005887,
D6R901 GO:0006511,GO:0008234,GO:0005783,GO:0005634,
D6R9N7 GO:0006511,GO:0008234,GO:0005783,GO:0005634,
D6RA61 GO:0006511,GO:0008234,GO:0005783,GO:0005634,
D6RBM5 GO:0006511,GO:0005783,GO:0005634,
D6RBQ6 GO:0006511,GO:0008234,GO:0005783,GO:0005634,
D6RCP7 GO:0006511,GO:0008234,GO:0005783,GO:0005634,
